Date,Time,GPSLongitude,GPSLatitude,Datetime
2023-08-07,13:56:03,-82.3411553,29.626001,8/7/2023 13:56:03
2023-08-07,13:58:40,-82.340833,29.6259162,8/7/2023 13:58:40
2023-08-07,14:16:15,-82.3411553,29.626001,8/7/2023 14:16:15
2023-08-07,14:32:37,-82.3411106,29.6261108,8/7/2023 14:32:37
2023-08-07,14:35:26,-82.3411313,29.6260308,8/7/2023 14:35:26
2023-08-07,14:37:41,-82.3411599,29.6260304,8/7/2023 14:37:41
2023-08-08,6:51:40,-82.3411553,29.626001,8/8/2023 6:51:40
2023-08-08,9:41:41,-82.3411553,29.626001,8/8/2023 9:41:41
2023-08-08,9:55:07,-82.3411553,29.626001,8/8/2023 9:55:07
2023-08-08,11:28:52,-82.3410547,29.6262375,8/8/2023 11:28:52
2023-08-08,21:17:36,-82.3412624,29.6259547,8/8/2023 21:17:36
2023-08-08,22:09:59,-82.3412692,29.625981,8/8/2023 22:09:59
2023-08-08,23:09:24,-82.3412379,29.6258358,8/8/2023 23:09:24
2023-08-08,23:14:31,-82.3413216,29.626213,8/8/2023 23:14:31
2023-08-08,23:20:42,-82.3412185,29.6257779,8/8/2023 23:20:42
2023-08-09,5:14:27,-82.3412538,29.6259193,8/9/2023 5:14:27
2023-08-09,5:17:56,-82.3411553,29.626001,8/9/2023 5:17:56
2023-08-09,5:27:04,-82.341232,29.6258317,8/9/2023 5:27:04
2023-08-09,5:50:14,-82.3411553,29.626001,8/9/2023 5:50:14
2023-08-09,5:52:24,-82.3412675,29.6259797,8/9/2023 5:52:24
2023-08-09,5:54:08,-82.34114,29.626024,8/9/2023 5:54:08
2023-08-09,5:55:18,-82.3410533,29.6260898,8/9/2023 5:55:18
2023-08-09,5:55:49,-82.341161,29.6259884,8/9/2023 5:55:49
2023-08-09,5:56:23,-82.3401146,29.6242487,8/9/2023 5:56:23
2023-08-09,5:57:28,-82.3406566,29.616581,8/9/2023 5:57:28
2023-08-09,5:58:33,-82.3497662,29.6143176,8/9/2023 5:58:33
2023-08-09,5:59:38,-82.3626968,29.6098356,8/9/2023 5:59:38
2023-08-09,6:00:48,-82.3712378,29.6064274,8/9/2023 6:00:48
2023-08-09,6:01:58,-82.3712393,29.6038658,8/9/2023 6:01:58
2023-08-09,6:03:03,-82.381099,29.6110054,8/9/2023 6:03:03
2023-08-09,6:04:08,-82.384378,29.6180881,8/9/2023 6:04:08
2023-08-09,6:05:13,-82.3856537,29.621521,8/9/2023 6:05:13
2023-08-09,6:05:34,-82.3867316,29.6221358,8/9/2023 6:05:34
2023-08-09,6:05:43,-82.3869629,29.6271798,8/9/2023 6:05:43
2023-08-09,6:06:38,-82.3876723,29.626413,8/9/2023 6:06:38
2023-08-09,6:07:43,-82.3872271,29.6273343,8/9/2023 6:07:43
2023-08-09,6:08:48,-82.3869579,29.6271785,8/9/2023 6:08:48
2023-08-09,6:09:17,-82.3869634,29.6271784,8/9/2023 6:09:17
2023-08-09,6:11:43,-82.3870928,29.6272457,8/9/2023 6:11:43
2023-08-09,6:12:53,-82.3884364,29.6258499,8/9/2023 6:12:53
2023-08-09,6:12:59,-82.3885819,29.6255223,8/9/2023 6:12:59
2023-08-09,6:13:58,-82.3942189,29.6239851,8/9/2023 6:13:58
2023-08-09,6:15:03,-82.3924239,29.6157576,8/9/2023 6:15:03
2023-08-09,6:15:44,-82.3898189,29.6153276,8/9/2023 6:15:44
2023-08-09,6:16:19,-82.3843061,29.6191355,8/9/2023 6:16:19
2023-08-09,6:16:53,-82.3838713,29.6192754,8/9/2023 6:16:53
2023-08-09,6:17:58,-82.384994,29.6203494,8/9/2023 6:17:58
2023-08-09,6:19:08,-82.3841366,29.6187148,8/9/2023 6:19:08
2023-08-09,6:19:59,-82.38414,29.6192052,8/9/2023 6:19:59
2023-08-09,6:21:58,-82.3843255,29.6191508,8/9/2023 6:21:58
2023-08-09,6:24:47,-82.3839519,29.6188483,8/9/2023 6:24:47
2023-08-09,6:26:55,-82.3838069,29.618752,8/9/2023 6:26:55
2023-08-09,6:28:12,-82.3840963,29.6192108,8/9/2023 6:28:12
2023-08-09,6:29:17,-82.383169,29.6178742,8/9/2023 6:29:17
2023-08-09,6:29:20,-82.3841591,29.6191038,8/9/2023 6:29:20
2023-08-09,6:30:27,-82.3787058,29.6088921,8/9/2023 6:30:27
2023-08-09,6:31:32,-82.3722722,29.6090765,8/9/2023 6:31:32
2023-08-09,6:32:37,-82.3710304,29.6040147,8/9/2023 6:32:37
2023-08-09,6:33:42,-82.3676463,29.6060885,8/9/2023 6:33:42
2023-08-09,6:34:47,-82.3566092,29.6130987,8/9/2023 6:34:47
2023-08-09,6:35:57,-82.3454146,29.6144944,8/9/2023 6:35:57
2023-08-09,6:36:53,-82.340276,29.6179462,8/9/2023 6:36:53
2023-08-09,6:37:57,-82.3407657,29.6245293,8/9/2023 6:37:57
2023-08-09,6:38:21,-82.3410508,29.6259816,8/9/2023 6:38:21
2023-08-09,6:39:07,-82.3410161,29.6259973,8/9/2023 6:39:07
2023-08-09,6:39:52,-82.3410156,29.6259931,8/9/2023 6:39:52
2023-08-09,13:18:22,-82.3411548,29.626001,8/9/2023 13:18:22
2023-08-09,13:23:36,-82.3411548,29.626001,8/9/2023 13:23:36
2023-08-09,19:54:09,-82.3411548,29.626001,8/9/2023 19:54:09
2023-08-09,20:03:36,-82.3411548,29.626001,8/9/2023 20:03:36
2023-08-09,22:40:44,-82.3409972,29.6259823,8/9/2023 22:40:44
2023-08-09,22:42:20,-82.3411592,29.6259859,8/9/2023 22:42:20
2023-08-09,22:42:21,-82.340891,29.6249287,8/9/2023 22:42:21
2023-08-09,22:43:26,-82.340022,29.6207166,8/9/2023 22:43:26
2023-08-09,22:44:36,-82.3453875,29.6146002,8/9/2023 22:44:36
2023-08-09,22:45:46,-82.3584412,29.6124843,8/9/2023 22:45:46
