Lat,Long,Time
29.604773270644017,-82.37562307338796,1741641967.433099
29.61440176769487,-82.34719043445378,1741642267.4177341
29.625087401169033,-82.34082517782443,1741642573.663588
29.62616707934767,-82.34124512248651,1741643122.200033
29.62610534597059,-82.34127518282222,1741643924.707128
29.625994273349917,-82.3412997415475,1741652595.484483
29.60446252659124,-82.3583764198231,1741655467.2312841
29.62602054364496,-82.34116083266946,1741655779.706141
29.6260946918173,-82.341295850887,1741658842.231833
29.62058232712252,-82.3400622185176,1741699152.615058
29.603912815092368,-82.3709973444293,1741699452.662572
29.659340139794214,-82.41732368078115,1741699759.5715961
29.68277492483556,-82.43817308697511,1741700074.475348
29.67872209750256,-82.4347813989661,1741700409.10098
29.682971248430835,-82.43239880547154,1741723489.114105
29.67817311423918,-82.43594943338461,1741734164.466511
29.682705745709487,-82.43590416258212,1741736082.286453
29.68662152535253,-82.43903920062114,1741737202.232002
29.664686299566142,-82.42326490721582,1741737518.110838
29.611306820259717,-82.3605112245376,1741737909.724956
29.626063908150886,-82.34111040172563,1741738232.517137
29.626009374699446,-82.34129949796363,1741738690.987814
29.60802388227168,-82.35576055839998,1741744742.955785
29.626021128632885,-82.3411588374124,1741745235.03775
29.626044073365037,-82.34109287747992,1741749511.833943
29.62098016667558,-82.34042584006892,1741881476.086318
29.604413645676754,-82.37165554595047,1741881778.9567308
29.67016072723479,-82.42861701641836,1741882162.607665
29.681692063993864,-82.43734903077271,1741882464.9577541
29.67777581765475,-82.43296305859165,1741882785.984984
29.67924597920906,-82.43476581249979,1741888667.128312
29.68162189113882,-82.4302762637171,1741894447.814711
29.67270956653429,-82.43105896448935,1741894748.106422
29.60097178173604,-82.37450673025931,1741895107.207802
29.615072180209463,-82.34100531849803,1741895501.4009109
29.626020711361956,-82.3411609872635,1741895875.937226
29.62604161711144,-82.3410866403452,1741901409.8789911
29.62604161711144,-82.3410866403452,1741935843.6759129
29.626018319671108,-82.34115604214807,1741986397.236538
29.619019671835492,-82.33981780587138,1741987427.297472
29.613132406423524,-82.359491146565,1741987782.4825149
29.614329375916085,-82.38356925297904,1741988149.8970098
29.622791907777657,-82.38168493852241,1741988450.141011
29.626675705617014,-82.38441911883153,1741990622.108644
29.62223157755064,-82.38171125769837,1741992819.1042151
29.608268470267152,-82.37811604674268,1741993297.559473
29.624844761261127,-82.34045166006857,1741993740.922004
29.626043488015654,-82.34108488146668,1742029072.686491
29.626043488015654,-82.34108488146668,1742030347.7847161
29.626014374810662,-82.34115841425304,1742063025.821579
29.626046730884905,-82.3410756279353,1742136704.183704
29.626048055119313,-82.34107344101636,1742141814.839581
29.626014374810662,-82.34115841425304,1742184958.116266
29.626053017189513,-82.34102957270383,1742349081.750338
29.626053017189513,-82.34102957270383,1742349681.555344
29.626053017189513,-82.34102957270383,1742350280.43841
29.626053017189513,-82.34102957270383,1742350880.4695659
29.626053017189513,-82.34102957270383,1742351501.315741
29.626053017189513,-82.34102957270383,1742352101.568139
29.626053017189513,-82.34102957270383,1742352702.270022
29.626053017189513,-82.34102957270383,1742353344.399373
29.626053017189513,-82.34102957270383,1742354552.026709
29.62605112488563,-82.34101910303944,1742354552.0828772
29.62605112488563,-82.34101910303944,1742355151.518781
29.62605112488563,-82.34101910303944,1742355933.357111
29.62605112488563,-82.34101910303944,1742357994.945084
29.62605112488563,-82.34101910303944,1742358680.961049
29.62605112488563,-82.34101910303944,1742359280.0801148
29.62605112488563,-82.34101910303944,1742360025.232105
29.62605112488563,-82.34101910303944,1742360624.3973908
29.62605112488563,-82.34101910303944,1742362509.56116
29.62605112488563,-82.34101910303944,1742363110.386712
29.62605112488563,-82.34101910303944,1742363709.524382
29.62605112488563,-82.34101910303944,1742364322.2615771
29.62605112488563,-82.34101910303944,1742364954.095573
29.62605112488563,-82.34101910303944,1742366850.285236
29.62605112488563,-82.34101910303944,1742367564.6859012
29.626052698761374,-82.34101448269695,1742368867.933423
29.626052698761374,-82.34101448269695,1742370982.224333
29.626052698761374,-82.34101448269695,1742371614.9672709
29.626052698761374,-82.34101448269695,1742372447.1638498
29.626052698761374,-82.34101448269695,1742373047.7439818
29.626052698761374,-82.34101448269695,1742373824.907535
29.63314246999999,-82.34153746999998,1742406408.6248899
